Programme,Session,Conférence,Jour,Début,Fin,Modérateur,Intervenants,Salle,Droit
AVEF,Maréchalerie sur le parvis,Les entités patholgiques du cheval de sport : ferrures adaptées,Mercredi,11h15,11h45,B. Baup,JM. Denoix,Grèce,AM1
AVEF,Maréchalerie sur le parvis,Les entités pathologiques du trotteur : ferrures adaptées,Mercredi,11h45,12h15,B. Baup,JM. Denoix,Grèce,AM1
AVEF,Cushing & syndrome métabolique : quelles sont les preuves ?,Table ronde,Mercredi,10h45,12h15,NA,V. Deniau/M. Depecker,Rome,TR1
AVEF,Comment faire face à une hyperthermie non expliquée ?,Travaux dirigés,Mercredi,10h45,11h30,NA,H. Amory,Genève,TD1
AVEF,Comment faire face à une hyperthermie non expliquée ?,Travaux dirigés,Mercredi,11h30,12h15,NA,H. Amory,Genève,TD2
AVEF,Comment lire des cytologies pneumo-utérines ?,Travaux pratiques,Mercredi,10h45,11h30,NA,J-M. Betsch/E. Chollet/L. Mangold,Liège,TP1
AVEF,Comment opérer en cuisine (pastèques & gigots) ?,Travaux pratiques,Mercredi,11h30,12h15,NA,C. Mespoulhes-Rivière/M. Lacourt,Liège,TP2
SNVEL,Médicament : la prescription à quel prix ?,Comment concilier éthique et économie en matière d’antibiotiques ?,Mercredi,10h45,11h00,NA,D. Quint,Espagne,Jour1
SNVEL,Médicament : la prescription à quel prix ?,Quels outils de pilotage pour un positionnement concurrentiel ? ,Mercredi,11h00,11h30,NA,E. Lejeau,Espagne,Jour1
SNVEL,Médicament : la prescription à quel prix ?,Se préparer à une inspection.,Mercredi,11h30,11h45,NA,E. Lejeau,Espagne,Jour1
SNVEL,Médicament : la prescription à quel prix ?,Les attentes actuelles des vétérinaires vis-à-vis de leurs Centrales d’achat sont-elles identifiées ? ,Mercredi,11h45,12h15,NA,JY. Gauchot,Espagne,Jour1
AVEF,Diagnostic: Bien se servir de nos outils; ne pas sur-interpréter ,Que nous a apporté l’imagerie au cours du dernier quart de siècle ?,Mercredi,13h45,14h15,E. Richard,J-M. Denoix,Amphithéatre,Jour1
AVEF,Diagnostic: Bien se servir de nos outils; ne pas sur-interpréter ,Comment (bien) interpréter les images de mon endoscope?,Mercredi,14h15,14h45,E. Richard,A. Couroucé-Malblanc,Amphithéatre,Jour1
AVEF,Diagnostic: Bien se servir de nos outils; ne pas sur-interpréter ,Que nous apporte la biologie moléculaire en 2015 ?,Mercredi,14h45,15h15,E. Richard,S. Pronost,Amphithéatre,Jour1
AVEF,Dentisterie factuelle,Evidence-based dentistry; part 1.,Mercredi,13h45,14h15,P. Chuit (UK speaking),J. Carmalt,Pays-Bas,Jour1
AVEF,Dentisterie factuelle,Evidence-based dentistry; part 2.,Mercredi,14h15,14h45,P. Chuit (UK speaking),J. Carmalt,Pays-Bas,Jour1
AVEF,Dentisterie factuelle,Retour d’expérience: Dentisterie en Amérique du Sud,Mercredi,14h45,15h00,P. Chuit (UK speaking),C. Lorenzo,Pays-Bas,Jour1
AVEF,Dentisterie factuelle,Table ronde EBM,Mercredi,15h00,15h15,P. Chuit (UK speaking),J. Carmalt/P. Chuit/J-Y.Gauchot/C-F. Louf/Guimbellot,Pays-Bas,Jour1
AVEF,Courtes Communications,Influence de deux techniques de prélèvements de moelle osseuse au niveau du sternum sur la qualité des échantillons,Mercredi,13h45,14h00,M. Lacourt,Cousty et al.,Grèce,Jour1
AVEF,Courtes Communications,Gestion chirurgicale de fractures sagittales de l’os carpal III chez le trotteur : 14 cas (2003-2015),Mercredi,14h00,14h15,M. Lacourt,Chassagne et al.,Grèce,Jour1
AVEF,Courtes Communications,Utilisation du V-LovTM180 dans la fermeture de l’espace néphro-splénique chez le cheval sous laparoscopie,Mercredi,14h15,14h30,M. Lacourt,De Fourmestraux et al.,Grèce,Jour1
AVEF,Courtes Communications,Retrospective Study of Pars Plana Vitrectomy in Private Practice in 95 Horses to Treat Equine Recurrent Uveitis,Mercredi,14h30,14h45,M. Lacourt,Leser et al.,Grèce,Jour1
AVEF,Courtes Communications,Metallic Implants at the Cricoid Lead to Less Loss of Abduction and More Biomechanical Stability in Equine Laryngoplasty in Ex Vivo Testing and in Vivo Clinical Cases,Mercredi,14h45,15h00,M. Lacourt,Brandenberger et al.,Grèce,Jour1
AVEF,Courtes Communications,Description d’une nouvelle technique de réinnervation laryngée sélective dans le traitement du cornage: étude rétrospective sur 10 chevaux,Mercredi,15h00,15h15,M. Lacourt,Rossignol et al.,Grèce,Jour1
AVEF,Retour d’expérience … Je m’y suis cassé les dents !,Table ronde,Mercredi,13h45,15h15,NA,O. Lepage/C. Mespoulhes-Rivière/I. Desjardins/A. Giraudet,Rome,TR2
AVEF,Tout nouveau pas beau : Quand référer mon nouveau-né ?,Travaux dirigés,Mercredi,13h45,14h30,NA,K. Corley/V. Picandet,Genève,TD3
AVEF,Tout nouveau pas beau : Quand référer mon nouveau-né ?,Travaux dirigés,Mercredi,14h30,15h15,NA,K. Corley/V. Picandet,Genève,TD4
AVEF,Ce que je (ne) dois (pas) entendre avec mon stéthoscope ? ,Travaux pratiques,Mercredi,13h45,14h30,CV in box,V. Deniau/M. Depecker,Liège,TP3
AVEF,Ce que je (ne) dois (pas) entendre avec mon stéthoscope ?,Travaux pratiques,Mercredi,14h30,15h15,CV in box,V. Deniau/M. Depecker,Liège,TP4
SNVEL,Prospective : le modèle économique libéral d’aujourd’hui et de demain,Votre service de garde est-il rentable ?,Mercredi,13h45,14h15,NA,J. Devos - Valovet,Espagne,Jour1
SNVEL,Prospective : le modèle économique libéral d’aujourd’hui et de demain,Chaînes de cliniques : Expériences Pays-Bas etc,Mercredi,14h15,14h45,NA,B. Carrière,Espagne,Jour1
SNVEL,Prospective : le modèle économique libéral d’aujourd’hui et de demain,La productivité de nos entreprises optimisée grâce à l’organisation vétérinaires/ASV.,Mercredi,14h45,15h15,NA,F. Perez - Apform,Espagne,Jour1
AVEF,Traitements (très) originaux,Setton & onguents vésicatoires,Mercredi,16h00,16H30,V. Picandet,F. Desbrosse,Amphithéatre,Jour1
AVEF,Traitements (très) originaux,Larvothérapie and co.,Mercredi,16H30,17h00,V. Picandet,O. Lepage,Amphithéatre,Jour1
AVEF,Traitements (très) originaux,Miel et autres produits pas chers.,Mercredi,17h00,17h30,V. Picandet,G.Kay,Amphithéatre,Jour1
AVEF,Dentisterie pratique & avancée,Decision tree for removal vs. endodontics,Mercredi,16h00,16H30,P. Chuit (UK speaking),J. Carmalt,Pays-Bas,Jour 1
AVEF,Dentisterie pratique & avancée,Intra-oral vs. extra-oral extraction.,Mercredi,16H30,17h00,P. Chuit (UK speaking),J. Carmalt,Pays-Bas,Jour 1
AVEF,Dentisterie pratique & avancée,Temporo-mandibular joint.,Mercredi,17h00,17h30,P. Chuit (UK speaking),J. Carmalt,Pays-Bas,Jour 1
AVEF,Courtes Communications,Test d’effort standardisé pour les jeunes chevaux d’endurance,Mercredi,16h00,16h15,A. Couroucé-Malblanc,Robert et al.,Grèce,Jour1
AVEF,Courtes Communications,Influence de la biotine sur la croissance et la qualité de la corne,Mercredi,16h15,16H30,A. Couroucé-Malblanc,Moiroud et al.,Grèce,Jour1
AVEF,Courtes Communications,Cas d’une encéphalomyélite chez un cheval eurasien dont l’agent étiologique présente des similitudes avec Sarcocystis neurona,Mercredi,16H30,16h45,A. Couroucé-Malblanc,Gueniot et al.,Grèce,Jour1
AVEF,Courtes Communications,Impact de l’âge à la première vaccination contre la grippe équine à court et à moyen termes sur le taux d’anticorps protecteurs chez des poulains pur-sang,Mercredi,16h45,17h00,A. Couroucé-Malblanc,Fougerolle et al.,Grèce,Jour1
AVEF,Courtes Communications,Cardioversion électrique transveineuse d’une fibrillation atriale sur 50 chevaux à la Faculté Vétérinaire de l’Université de Gand (Belgique),Mercredi,17h00,17h30,A. Couroucé-Malblanc,De Clerq et al.,Grèce,Jour1
AVEF,Détection & gestion de la douleur (chronique) en pratique,Table ronde,Mercredi,16h00,17h30,NA,G. Touzot-Jourde/I. Desjardins/V. Coudry,Rome,TR3
AVEF,Comment bien lire les images (radiographies échographies) ?,Travaux dirigés,Mercredi,16h00,16h45,NA,F. Audigié,Genève,TD5
AVEF,Comment prendre la bonne décision en suivi gynécologique ?,Travaux dirigés,Mercredi,16h45,17h30,NA,E. Chollet/L. Mangold,Genève,TD6
AVEF,Comment faire la coprologie dans l’arrière-cuisine ?,Travaux pratiques,Mercredi,16h00,16h45,NA,P. Camuset/P-H. Pitel,Liège,TP5
SNVEL,Assemblée Générale,Bilan Moral / Bilan Financier / Modification des Statuts /Stratégie du groupe SNVEL,Mercredi,16h00,17h30,NA,NA,Espagne,Jour1
AVEF/SNVEL,Temps politique SNVEL/AVEF,NA,Mercredi,18h00,19h00,NA,NA,Amphithéatre,Jour1
AVEF/SNVEL,Happy hour des partenaires,NA,Mercredi,19h30,21h00,NA,NA,Expo commerciale,Exhib
AVEF/SNVEL,Soirée AVEF/SNVEL,NA,Mercredi,21h00,02h00,NA,NA,Dock Haussman,Diner
AVEF,Coliques chroniques et intermittentes,Problématique définition & méthodes diagnostiques.,Jeudi,9h00,9h30,V. Picandet,H. Amory,Amphithéatre,Jour2
AVEF,Coliques chroniques et intermittentes,Ulcères et impaction chronique de l’estomac.,Jeudi,9h30,10h00,V. Picandet,NA,Amphithéatre,Jour2
AVEF,Coliques chroniques et intermittentes,Autour du grêle : cas cliniques intestinaux.,Jeudi,10h00,10h30,V. Picandet,A. Couroucé-Malblan,Amphithéatre,Jour2
AVEF,Imagerie infectieuse,Infections synoviales (articulations et gaines tendineuses).,Jeudi,9h00,9h30,V Coudry,M.Schramme,Pays-Bas,Jour2
AVEF,Imagerie infectieuse,Autres infections des membres.,Jeudi,9h30,10h00,V Coudry,M.Schramme,Pays-Bas,Jour2
AVEF,Imagerie infectieuse,Infection des régions axiales (abdomen thorax et al.).,Jeudi,10h00,10h30,V Coudry,V. Busoni,Pays-Bas,Jour2
AVEF,Déontologie … en pratique vétérinaire,Contractualisation de la continuité des soins et communication auprès des tiers.,Jeudi,9h00,9h30,M Martin-Sisteron,M. Veilly,Grèce,Jour2
AVEF,Déontologie … en pratique vétérinaire,Update sur le consentement éclairé.,Jeudi,9h30,10h00,M Martin-Sisteron,P. Lassalas,Grèce,Jour2
AVEF,Déontologie … en pratique vétérinaire,Nouveau référentiel en ostéopathie vétérinaire.,Jeudi,10h00,10h30,M Martin-Sisteron,I. Lussot,Grèce,Jour2
AVEF,Courtes Communications,Evaluation of non invasive and continuous monitoring of hemoglobin in anesthetized horses,Jeudi,9h00,9h15,K. Pader,Scicluna et al.,Rome,Jour2
AVEF,Courtes Communications,Comparaison de deux tests diagnostiques mesurant la concentration en SAA (Equine Serum Amyloid A) sur les structures synoviales inflammatoires non septiques et septiques,Jeudi,9h15,9h30,K. Pader,Stack et al.,Rome,Jour2
AVEF,Courtes Communications,The antimicrobial activity of local anaesthetics against bacterial strains isolated from horses,Jeudi,9h30,9h45,K. Pader,Adler et al.,Rome,Jour2
AVEF,Courtes Communications,Ligature de l’artère carotide commune ipsilatérale et traitement topique pour le traitement de l’épistaxis dû à une mycose des poches gutturales (24 chevaux),Jeudi,9h45,10h00,K. Pader,Cousty et al.,Rome,Jour2
AVEF,Courtes Communications,Traitement des sarcoïdes des équidés par injections intralésionnelles de calcium et électro-perméabilisation : étude préliminaire,Jeudi,10h00,10H15,K. Pader,Galant et al.,Rome,Jour2
AVEF,Courtes Communications,NA,Jeudi,10H15,10h30,K. Pader,NA,Rome,Jour2
AVEF,Comment prendre la bonne décision en suivi gynécologique ?,Travaux dirigés,Jeudi,9h00,9h45,NA,E. Chollet/L. Mangold,Genève,TD7
AVEF,Quel prélèvement / conditionnement pour quelle(s) analyse(s) ?,Travaux dirigés,Jeudi,9h45,10h30,NA,A. Giraudet,Genève,TD8
AVEF,Comment faire la coprologie dans l’arrière-cuisine ?,Travaux pratiques,Jeudi,9h00,9h45,NA,P. Camuset/P-H. Pitel,Liège,TP6
SNVEL,Contraintes règlementaires : plus ou moins ?,Exonéré ou dérogataire ? Le quizz de la délivrance.,Jeudi,9h00,9h25,NA,D. Quint,Espagne,Jour2
SNVEL,Contraintes règlementaires : plus ou moins ?,Le Code de déontologie raconté par,Jeudi,9h25,9h50,NA,Michel Baussier,Espagne,Jour2
SNVEL,Contraintes règlementaires : plus ou moins ?,Communication : quel budget quels supports ?,Jeudi,9h50,10h10,NA,A Daumas/PY Anglaret,Espagne,Jour2
SNVEL,Contraintes règlementaires : plus ou moins ?,Complémentaire santé obligatoire : les organismes recommandés. ,Jeudi,10H10,10h30,NA,J. Martinez,Espagne,Jour2
AVEF,Coliques intermittentes et récidivantes,Gestion des distensions de colon.,Jeudi,11h15,11h45,C. Mespoulhes-Rivière,V. Picandet,Amphithéatre,Jour2
AVEF,Coliques intermittentes et récidivantes,Déplacement et torsion de colon récidivante.,Jeudi,11h45,12h15,C. Mespoulhes-Rivière,M. Lacourt,Amphithéatre,Jour2
AVEF,Coliques intermittentes et récidivantes,Comment prévenir et gérer les adhérences ?,Jeudi,12h15,12h45,C. Mespoulhes-Rivière,K. Pader,Amphithéatre,Jour2
AVEF,Le RESPE ou l’itinéraire d’une réussite contagieuse,L’expérience du passé.,Jeudi,11h15,11h40,G. Fortier,S. Zientara,Pays-Bas,Jour2
AVEF,Le RESPE ou l’itinéraire d’une réussite contagieuse,La situation présente.,Jeudi,11h40,12h05,G. Fortier,A. Couroucé-Malblanc,Pays-Bas,Jour2
AVEF,Le RESPE ou l’itinéraire d’une réussite contagieuse,Breaking news : West Nile en France !,Jeudi,12h05,12h20,G. Fortier,S. Zientara,Pays-Bas,Jour2
AVEF,Le RESPE ou l’itinéraire d’une réussite contagieuse,Quid du futur ?,Jeudi,12h20,12h45,G. Fortier,C. Marcillaud-Pitel,Pays-Bas,Jour2
AVEF,Arsenal thérapeutique … en pratique,Comment valoriser ce qu’on a (et se passer de ce qu’on ne peut avoir) ?,Jeudi,11h15,11h45,C-F. Louf,G. Kay,Rome,Jour2
AVEF,Arsenal thérapeutique … en pratique,Médicaments en Équine : respecter les règles.,Jeudi,11h45,12h15,C-F. Louf,C. Scicluna,Rome,Jour2
AVEF,Arsenal thérapeutique … en pratique,Bonnes pratiques en pharmaco-vigilance.,Jeudi,12h15,12h45,C-F. Louf,E. Fresnay,Rome,Jour2
AVEF,Courtes Communications,Alimentation de la jument allaitante : pâturer sans concentrés c’est possible !,Jeudi,11h15,11h30,P-H. Pitel,Collas et al.,Rome,Jour2
AVEF,Courtes Communications,Étude des coûts et bénéfices liés à la vermifugation sélective basée sur la coproscopie,Jeudi,11h30,11h45,P-H. Pitel,Sallé et al.,Rome,Jour2
AVEF,Courtes Communications,Amaigrissements et troubles locomoteurs atypiques dans un élevage bas-normand,Jeudi,11h45,12H00,P-H. Pitel,Hamon et al.,Rome,Jour2
AVEF,Courtes Communications,Multiples cas d’Equine Grass Sickness (EGS) ou Maladie de l’Herbe,Jeudi,12H00,12h15,P-H. Pitel,Leleu et al.,Rome,Jour2
AVEF,Courtes Communications,NA,Jeudi,12h15,12h30,P-H. Pitel,NA,Rome,Jour2
AVEF,Courtes Communications,NA,Jeudi,12h30,12h45,P-H. Pitel,NA,Rome,Jour2
AVEF,Comment bien lire les images (radiographies échographies) ?,Travaux dirigés,Jeudi,11h15,12H00,NA,F. Audigié,Genève,TD9
AVEF,Comment respecter la règlementation en radioprotection équine ?,Travaux dirigés,Jeudi,12h00,12h45,NA,C. Roy,Genève,TD10
AVEF,Comment lire des cytologies pneumo-utérines ?,Travaux pratiques,Jeudi,12h00,12h45,NA,J-M. Betsch/E. Chollet/L. Mangold,Liège,TP7
SNVEL,Formation continue : que choisir ?,FIF-PL : les nouveaux barêmes,Jeudi,11h15,11h35,NA,E. Février,Espagne,Jour2
SNVEL,Formation continue : que choisir ?,Formation Continue : quelle place pour les nouveaux outils ?,Jeudi,11H35,12h00,NA,M. Gogny,Espagne,Jour2
SNVEL,Formation continue : que choisir ?,Une marque «formation» SNVEL qui partage nos valeurs,Jeudi,12h00,12h20,NA,V. Luddeni,Espagne,Jour2
SNVEL,Formation continue : que choisir ?,Du stage de fin d’étude à l’apprentissage : quelles évolutions possibles ?,Jeudi,12h20,12h45,NA,H. Hiard/S. Martinot,Espagne,Jour2
AVEF,Antiobiothérapie - EcoAntibio 2017,Antibio …-gramme et/ou …-tiques,Jeudi,14h15,14h45,NA,JY Madec,Amphithéatre,Jour2
AVEF,Antiobiothérapie - EcoAntibio 2017,Fiches BP Antibiothérapie en équine,Jeudi,14h45,15h45,NA,P. Ciantar/L. Mangold/C. Scicluna/S. Paul Jean Jean/A. Sensenbrenner,Amphithéatre,Jour2
AVEF,Contusions osseuses : du mythe à la réalité ...,Contusions osseuses : définition et application au pied.,Jeudi,14h15,14h45,M. Schramme,F. Audigié,Pays-Bas,Jour2
AVEF,Contusions osseuses : du mythe à la réalité ...,C.C. Les lésions de contusion osseuse du condyle métacarpien chez les chevaux de sport : étude sur 135 cas.,Jeudi,14h45,15h00,M. Schramme,de Guio et al.,Pays-Bas,Jour2
AVEF,Contusions osseuses : du mythe à la réalité ...,Consusions osseuses du boulet chez le cheval de course.,Jeudi,15h00,15h15,M. Schramme,V. Coudry,Pays-Bas,Jour2
AVEF,Contusions osseuses : du mythe à la réalité ...,Contusions osseuses des régions moyennes et proximales.,Jeudi,15h15,15h45,M. Schramme,S. Jacquet,Pays-Bas,Jour2
AVEF,Courtes Communications,Modifications cliniques biologiques et histologiques induites par une immunisation anti-GnRH chez l’étalon,Jeudi,14h15,14h30,J-M. Betsch,Dréau et al.,Grèce,Jour2
AVEF,Courtes Communications,La taille du follicule préovulatoire est-il répétable chez la même jument ?,Jeudi,14h30,14h45,J-M. Betsch,Bruyas et al.,Grèce,Jour2
AVEF,Courtes Communications,Une injection unique de 3 mg de buséréline par voie sous-cutanée est-elle aussi efficace qu’une injection de 6 mg pour induire l’ovulation chez la jument?,Jeudi,14h45,15h00,J-M. Betsch,Normandin et al.,Grèce,Jour2
AVEF,Courtes Communications,Mise en évidence et suivi par échographie ovarienne transrectale de nouveaux critères pour identifier le follicule dominant et déterminer l’imminence de l’ovulation chez la jument en oestrus - comparaison de différents échographes,Jeudi,15h00,15h15,J-M. Betsch,Bruyas et al.,Grèce,Jour2
AVEF,Courtes Communications,Importance de l’état corporel périconceptionnel pour le développement de l’unité fœto-placentaire et le métabolisme des poulains chez le cheval,Jeudi,15h15,15h30,J-M. Betsch,Robles et al.,Grèce,Jour2
AVEF,Courtes Communications,Suivi biométrique de la croissance du fœtus équin par échographie transrectale à partir de 180 jours de gestation,Jeudi,15h30,15h45,J-M. Betsch,Madelaine et al.,Grèce,Jour2
AVEF,Quel prélèvement / conditionnement pour quelle(s) analyse(s) ?,Travaux dirigés,Jeudi,14h15,15h00,NA,A. Giraudet,Genève,TD11
AVEF,Comment respecter la règlementation en radioprotection équine ?,Travaux dirigés,Jeudi,15h00,15h45,NA,C. Roy,Genève,TD12
AVEF,Antiobiothérapie,Travaux pratiques,Jeudi,14h15,15h00,NA,C. Mespoulhes-Rivière/M. Lacourt,,TP8
AVEF/SNVEL,Module AVEF - SNVEL «Chef d’Entreprise»,Evolution des revenus des vétérinaires libéraux.,Jeudi,14h15,14h45,F. Bussieras,F. Courouble,Espagne,Jour2
AVEF/SNVEL,Module AVEF - SNVEL «Chef d’Entreprise»,Enquête sur le temps de travail des libéraux.,Jeudi,14h45,15h15,F. Bussieras,O. Serre,Espagne,Jour2
AVEF/SNVEL,Module AVEF - SNVEL «Chef d’Entreprise»,Le financement des soins : les plans de prévention en canine/équine - le forfait mensuel en rurale,Jeudi,15h15,15h45,F. Bussieras,J. Finez/P. Buisson/PY. Anglaret,Espagne,Jour2
AVEF,Thérapie articulaire,Acide hyaluronique : le retour,Jeudi,16h30,16h50,M. Gogny,S. Wittreck,Amphithéatre,Jour2
AVEF,Thérapie articulaire,Thérapie articulaire chez l’homme.,Jeudi,16h50,17h10,M. Gogny,H. Lellouche,Amphithéatre,Jour2
AVEF,Thérapie articulaire,Thérapie articulaire chez le cheval.,Jeudi,17h10,17h30,M. Gogny,R. Perrin,Amphithéatre,Jour2
AVEF,Thérapie articulaire,Débat et questionnaire pour la salle,Jeudi,17h30,18h00,M. Gogny,NA,Amphithéatre,Jour2
AVEF,Séance débat : les laparotomies,Tout ce que vous avez toujours voulu savoir sur les laparos petites ou grandes sans jamais oser le demander avec dans les rôles principaux : ,Jeudi,16h30,18h00,NA,K. Pader/C. Bussy/M. Lacourt/sur une mise en scène de X. Gluntz,Grèce,Jour2
AVEF,Courtes Communications,Intérêt de l’IRM debout dans le traitement chirurgical des fractures du membre chez le cheval,Jeudi,16h30,16h45,S. Jacquet,Vila et al.,Grèce,Jour2
AVEF,Courtes Communications,Techniques et indications de l’échographie per-opératoire chez le cheval (113 cas),Jeudi,16h45,17h00,S. Jacquet,Stack et al.,Grèce,Jour2
AVEF,Courtes Communications,La tenosynovite septique de la bourse bicipitale : une pathologie d’origine divers avec un pronostic favorable malgré la sévérité des lésions,Jeudi,17h00,17h15,S. Jacquet,Vitte et al.,Grèce,Jour2
AVEF,Courtes Communications,Description de 16 cas de ténosynovite aseptique de la gaine digitale due à des fissures longitudinales des tendons fléchisseurs chez 15 chevaux,Jeudi,17h15,17h30,S. Jacquet,Robert et al.,Grèce,Jour2
AVEF,Courtes Communications,Comment faire et interpréter les images échographiques du ligament annulaire palmaire chez le cheval,Jeudi,17h30,17h45,S. Jacquet,Tallaj et al.,Grèce,Jour2
AVEF,Courtes Communications,L’échographie du larynx est-elle une aide à la détection précoce de l’hémiplégie laryngée chez le yearling pur-sang ?,Jeudi,17h45,18h00,S. Jacquet,Lechartier et al.,Grèce,Jour2
AVEF/SNVEL,Vétos Entraide,NA,Jeudi,16h30,18h00,NA,NA,Genève,gratuit
AVEF/SNVEL,Module AVEF - SNVEL «Chef d’Entreprise»,Pourquoi préférer la collaboration libérale ?,Jeudi,16h30,17h00,F. Bussieras,P. Cavanna - Resovet,Espagne,Jour2
AVEF/SNVEL,Module AVEF - SNVEL «Chef d’Entreprise»,Nos prix : atelier «fixation des prix» à partir du modèle équin - adaptation à la canine et à la rurale.,Jeudi,17h00,18h00,F. Bussieras,L. Faget/J. Loomans.,Espagne,Jour2
EBMS,Compensation of Equine Veterinarians - The Challenges,,Lundi,08h15,10h30,NA,Jim Woodrum/Bob Magnus,Terrasse Hotel,EBMS1
EBMS,Compensation of Equine Veterinarians - The Challenges,Compensation (Continued),Lundi,10h45,12h00,NA,Jim Woodrum/Bob Magnus,Terrasse Hotel,EBMS1
EBMS,Compensation of Equine Veterinarians - The Challenges,Compensation (Continued),Lundi,13h00,14h30,NA,Jim Woodrum/Bob Magnus,Terrasse Hotel,EBMS2
EBMS,Compensation of Equine Veterinarians - The Challenges,Compensation (Continued),Lundi,14h45,17h00,NA,Jim Woodrum/Bob Magnus,Terrasse Hotel,EBMS2
EBMS,Pricing Strategy and its Effect on your Bottom Line,,Mardi,08h15,10h30,NA,Jim Woodrum/Bob Magnus,NA,EBMS3
EBMS,Pricing Strategy and its Effect on your Bottom Line,Pricing Strategy (Continued),Mardi,10h45,12h00,NA,Chuck Johnson/Mike Pownall/Laurent Faget,NA,EBMS3
